prompt_id,model,category,difficulty,has_reference,parse_ok,n_f1,e_f1,t_f1,v_f1
1,qwen2.5-3b,general_reasoning,low,True,True,0.25,0.0,0.2222222222222222,0.2222222222222222
10,qwen2.5-3b,general_reasoning,low,False,False,,,,
11,qwen2.5-3b,general_reasoning,low,False,False,,,,
12,qwen2.5-3b,general_reasoning,low,True,True,0.0,0.0,0.0,0.0
13,qwen2.5-3b,planning,low,True,True,0.4,0.0,0.0,0.0
14,qwen2.5-3b,planning,low,True,True,0.0,0.0,0.0,0.0
15,qwen2.5-3b,planning,low,True,True,0.0,0.0,0.0,0.0
16,qwen2.5-3b,planning,low,False,False,,,,
17,qwen2.5-3b,planning,low,False,False,,,,
18,qwen2.5-3b,planning,low,True,True,1.0,1.0,0.0,0.0
19,qwen2.5-3b,planning,low,False,False,,,,
2,qwen2.5-3b,general_reasoning,low,True,True,0.28571428571428575,0.0,0.0,0.0
20,qwen2.5-3b,planning,low,False,False,,,,
21,qwen2.5-3b,planning,low,True,True,0.3333333333333333,0.0,0.0,0.0
22,qwen2.5-3b,planning,low,True,True,0.6666666666666666,0.0,0.0,0.0
23,qwen2.5-3b,planning,low,True,True,1.0,0.0,0.0,0.0
24,qwen2.5-3b,planning,low,False,False,,,,
3,qwen2.5-3b,general_reasoning,low,True,True,0.5,0.33333333333333337,1.0,1.0
4,qwen2.5-3b,general_reasoning,low,False,False,,,,
5,qwen2.5-3b,general_reasoning,low,False,False,,,,
6,qwen2.5-3b,general_reasoning,low,False,False,,,,
7,qwen2.5-3b,general_reasoning,low,True,True,0.3333333333333333,0.0,0.25,0.25
8,qwen2.5-3b,general_reasoning,low,False,False,,,,
9,qwen2.5-3b,general_reasoning,low,True,True,0.8,0.6666666666666666,0.4,0.4
