prompt_id,model,query,correct_tool,predicted_tool,tool_correct,correct_parameters,predicted_parameters,full_correct,parse_ok
24,gemma2-2b,Give me a recipe for butter chicken.,search_recipe,search_recipe,True,"{""dish_name"": ""butter chicken""}","{""dish_name"": ""butter chicken""}",True,True
25,gemma2-2b,How do I make chocolate chip cookies?,search_recipe,search_recipe,True,"{""dish_name"": ""chocolate chip cookies""}","{""dish_name"": ""chocolate chip cookies""}",True,True
26,gemma2-2b,Find me a recipe for margherita pizza.,search_recipe,search_recipe,True,"{""dish_name"": ""margherita pizza""}","{""dish_name"": ""margherita pizza""}",True,True
27,gemma2-2b,Is flight AI202 on time?,get_flight_status,get_flight_status,True,"{""flight_number"": ""AI202""}","{""flight_number"": ""AI202""}",True,True
28,gemma2-2b,What's the status of flight UA890?,get_flight_status,get_flight_status,True,"{""flight_number"": ""UA890""}","{""flight_number"": ""UA890""}",True,True
29,gemma2-2b,Find me a good Italian restaurant in Delhi.,search_restaurant,search_restaurant,True,"{""cuisine"": ""Italian"", ""location"": ""Delhi""}","{""cuisine"": ""Italian"", ""location"": ""Delhi""}",True,True
3,gemma2-2b,Give me today's weather in Tokyo.,get_weather,get_weather,True,"{""location"": ""Tokyo"", ""date"": ""today""}","{""location"": ""Tokyo""}",False,True
30,gemma2-2b,Suggest a Chinese restaurant near Mumbai.,search_restaurant,search_restaurant,True,"{""cuisine"": ""Chinese"", ""location"": ""Mumbai""}","{""cuisine"": ""Chinese"", ""location"": ""Mumbai""}",True,True
31,gemma2-2b,How do I get from BMU campus to New Delhi railway station?,get_directions,get_directions,True,"{""origin"": ""BMU campus"", ""destination"": ""New Delhi railway station""}","{""origin"": ""BMU campus"", ""destination"": ""New Delhi railway station""}",True,True
32,gemma2-2b,Give me directions from Connaught Place to India Gate.,get_directions,get_directions,True,"{""origin"": ""Connaught Place"", ""destination"": ""India Gate""}","{""origin"": ""Connaught Place"", ""destination"": ""India Gate""}",True,True
33,gemma2-2b,What's the route from my hostel to the airport?,get_directions,get_directions,True,"{""origin"": ""hostel"", ""destination"": ""airport""}","{""origin"": ""your hostel"", ""destination"": ""airport""}",False,True
34,gemma2-2b,Send an email to john@example.com with the subject 'Meeting Reminder' saying the meeting is at 3 PM.,send_email,,False,"{""recipient"": ""john@example.com"", ""subject"": ""Meeting Reminder"", ""body"": ""the meeting is at 3 PM""}",,False,False
35,gemma2-2b,Email my professor at prof@university.edu telling them I'll submit the report tomorrow.,send_email,send_email,True,"{""recipient"": ""prof@university.edu"", ""subject"": ""Report Submission"", ""body"": ""I'll submit the report tomorrow""}","{""recipient"": ""prof@university.edu"", ""subject"": ""Report Submission Update"", ""body"": ""Dear Professor [Professor's name], I will submit the report tomorrow.""}",False,True
36,gemma2-2b,What's the latest news on artificial intelligence?,get_news,get_news,True,"{""topic"": ""artificial intelligence""}","{""topic"": ""artificial intelligence""}",True,True
37,gemma2-2b,Show me recent news about the stock market.,get_news,get_news,True,"{""topic"": ""stock market""}","{""topic"": ""stock market""}",True,True
38,gemma2-2b,Any recent news about space exploration?,get_news,get_news,True,"{""topic"": ""space exploration""}","{""topic"": ""space exploration""}",True,True
39,gemma2-2b,What does 'ubiquitous' mean?,define_word,define_word,True,"{""word"": ""ubiquitous""}","{""word"": ""ubiquitous""}",True,True
4,gemma2-2b,Is it going to snow in Toronto next Monday?,get_weather,get_weather,True,"{""location"": ""Toronto"", ""date"": ""next Monday""}","{""location"": ""Toronto"", ""date"": ""next Monday""}",True,True
40,gemma2-2b,Define the word 'ephemeral'.,define_word,define_word,True,"{""word"": ""ephemeral""}","{""word"": ""ephemeral""}",True,True
41,gemma2-2b,What time is it right now in New York?,get_time_in_timezone,get_time_in_timezone,True,"{""timezone"": ""New York""}","{""timezone"": ""America/New_York""}",False,True
42,gemma2-2b,What's the current time in Tokyo?,get_time_in_timezone,get_time_in_timezone,True,"{""timezone"": ""Tokyo""}","{""timezone"": ""Tokyo""}",True,True
43,gemma2-2b,Find me a hotel in Goa for December 1st.,search_hotel,search_hotel,True,"{""location"": ""Goa"", ""check_in_date"": ""December 1st""}","{""location"": ""Goa"", ""check_in_date"": ""December 1st""}",True,True
44,gemma2-2b,I need a hotel in Bangkok checking in next Friday.,search_hotel,search_hotel,True,"{""location"": ""Bangkok"", ""check_in_date"": ""next Friday""}","{""location"": ""Bangkok"", ""check_in_date"": ""2023-10-27""}",False,True
45,gemma2-2b,Generate a QR code for my website https://example.com.,generate_qr_code,generate_qr_code,True,"{""text"": ""https://example.com""}","{""text"": ""https://example.com""}",True,True
46,gemma2-2b,Make a QR code containing the text 'Welcome to our event'.,generate_qr_code,generate_qr_code,True,"{""text"": ""Welcome to our event""}","{""text"": ""Welcome to our event""}",True,True
47,gemma2-2b,Summarize this: 'The quick brown fox jumps over the lazy dog repeatedly during summer months while foxes generally hunt at night and rest during the day near forest edges.',summarize_text,summarize_text,True,"{""text"": ""The quick brown fox jumps over the lazy dog repeatedly during summer months while foxes generally hunt at night and rest during the day near forest edges.""}","{""text"": ""The quick brown fox jumps over the lazy dog repeatedly during summer months while foxes generally hunt at night and rest during the day near forest edges.""}",True,True
48,gemma2-2b,"Can you summarize this text for me: 'Machine learning models require large amounts of data to train effectively, and the quality of that data often matters more than the quantity.'",summarize_text,,False,"{""text"": ""Machine learning models require large amounts of data to train effectively, and the quality of that data often matters more than the quantity.""}",,False,False
49,gemma2-2b,"What language is this sentence written in: 'Bonjour, comment allez-vous?'",detect_language,detect_language,True,"{""text"": ""Bonjour, comment allez-vous?""}","{""text"": ""Bonjour, comment allez-vous?""}",True,True
5,gemma2-2b,How much is 100 US dollars in Indian rupees?,convert_currency,convert_currency,True,"{""amount"": 100, ""from_currency"": ""USD"", ""to_currency"": ""INR""}","{""amount"": 100, ""from_currency"": ""USD"", ""to_currency"": ""INR""}",True,True
50,gemma2-2b,"Identify the language of this text: 'Guten Tag, wie geht es Ihnen?'",detect_language,detect_language,True,"{""text"": ""Guten Tag, wie geht es Ihnen?""}","{""text"": ""Guten Tag, wie geht es Ihnen?""}",True,True
6,gemma2-2b,Convert 50 euros to British pounds.,convert_currency,convert_currency,True,"{""amount"": 50, ""from_currency"": ""EUR"", ""to_currency"": ""GBP""}","{""amount"": ""50"", ""from_currency"": ""EUR"", ""to_currency"": ""GBP""}",True,True
7,gemma2-2b,What is 200 pounds in US dollars?,convert_currency,convert_currency,True,"{""amount"": 200, ""from_currency"": ""GBP"", ""to_currency"": ""USD""}","{""amount"": ""200"", ""from_currency"": ""GBP"", ""to_currency"": ""USD""}",True,True
8,gemma2-2b,How many kilometers is 10 miles?,convert_units,convert_units,True,"{""value"": 10, ""from_unit"": ""miles"", ""to_unit"": ""kilometers""}","{""value"": 10, ""from_unit"": ""mile"", ""to_unit"": ""kilometer""}",False,True
9,gemma2-2b,Convert 5 kilograms to pounds.,convert_units,convert_currency,False,"{""value"": 5, ""from_unit"": ""kilograms"", ""to_unit"": ""pounds""}","{""amount"": ""5"", ""from_currency"": ""kilograms"", ""to_currency"": ""pounds""}",False,True
1,llama3.2-3b,What's the weather going to be like in Mumbai tomorrow?,get_weather,get_weather,True,"{""location"": ""Mumbai"", ""date"": ""tomorrow""}","{""location"": ""Mumbai"", ""date"": ""tomorrow""}",True,True
10,llama3.2-3b,What is 245 multiplied by 37?,calculate,calculate,True,"{""expression"": ""245*37""}","{""expression"": ""245*37""}",True,True
11,llama3.2-3b,Calculate 15% of 2400.,calculate,calculate,True,"{""expression"": ""0.15*2400""}","{""expression"": ""0.15 * 2400""}",False,True
12,llama3.2-3b,What is the square root of 144?,calculate,calculate,True,"{""expression"": ""sqrt(144)""}","{""expression"": ""sqrt(144)""}",True,True
13,llama3.2-3b,Translate 'good morning' into French.,translate_text,translate_text,True,"{""text"": ""good morning"", ""target_language"": ""French""}","{""text"": ""good morning"", ""target_language"": ""French""}",True,True
14,llama3.2-3b,How do you say 'thank you' in Japanese?,translate_text,translate_text,True,"{""text"": ""thank you"", ""target_language"": ""Japanese""}","{""text"": ""thank you"", ""target_language"": ""ja""}",False,True
15,llama3.2-3b,Translate this sentence into Spanish: I am learning to code.,translate_text,translate_text,True,"{""text"": ""I am learning to code"", ""target_language"": ""Spanish""}","{""text"": ""I am learning to code."", ""target_language"": ""Spanish""}",False,True
16,llama3.2-3b,Remind me to call mom at 6 PM today.,set_reminder,set_reminder,True,"{""message"": ""call mom"", ""datetime"": ""6 PM today""}","{""message"": ""Remind you to call mom at 6 PM today."", ""datetime"": ""2024-03-16T18:00:00""}",False,True
17,llama3.2-3b,Set a reminder for my dentist appointment tomorrow at 10 AM.,set_reminder,set_reminder,True,"{""message"": ""dentist appointment"", ""datetime"": ""tomorrow at 10 AM""}","{""message"": ""Dentist appointment tomorrow at 10 AM"", ""datetime"": ""tomorrow at 10 AM""}",False,True
18,llama3.2-3b,Tell me about the movie Inception.,search_movie,search_movie,True,"{""title"": ""Inception""}","{""title"": ""Inception""}",True,True
19,llama3.2-3b,What is the movie Oppenheimer about?,search_movie,search_movie,True,"{""title"": ""Oppenheimer""}","{""title"": ""Oppenheimer""}",True,True
2,llama3.2-3b,Will it rain in London this weekend?,get_weather,get_weather,True,"{""location"": ""London"", ""date"": ""this weekend""}","{""location"": ""London"", ""date"": ""this weekend""}",True,True
20,llama3.2-3b,Give me a summary of the movie Interstellar.,search_movie,summarize_text,False,"{""title"": ""Interstellar""}","{""text"": ""Interstellar""}",False,True
21,llama3.2-3b,What is the current stock price of Apple?,get_stock_price,get_stock_price,True,"{""ticker_symbol"": ""AAPL""}","{""ticker_symbol"": ""AAPL""}",True,True
22,llama3.2-3b,How much is Tesla stock trading at right now?,get_stock_price,get_stock_price,True,"{""ticker_symbol"": ""TSLA""}","{""ticker_symbol"": ""TSLA""}",True,True
23,llama3.2-3b,What's Google's current share price?,get_stock_price,get_stock_price,True,"{""ticker_symbol"": ""GOOGL""}","{""ticker_symbol"": ""GOOGL""}",True,True
24,llama3.2-3b,Give me a recipe for butter chicken.,search_recipe,search_recipe,True,"{""dish_name"": ""butter chicken""}","{""dish_name"": ""butter chicken""}",True,True
25,llama3.2-3b,How do I make chocolate chip cookies?,search_recipe,search_recipe,True,"{""dish_name"": ""chocolate chip cookies""}","{""dish_name"": ""chocolate chip cookies""}",True,True
26,llama3.2-3b,Find me a recipe for margherita pizza.,search_recipe,search_recipe,True,"{""dish_name"": ""margherita pizza""}","{""dish_name"": ""margherita pizza""}",True,True
27,llama3.2-3b,Is flight AI202 on time?,get_flight_status,get_flight_status,True,"{""flight_number"": ""AI202""}","{""flight_number"": ""AI202""}",True,True
28,llama3.2-3b,What's the status of flight UA890?,get_flight_status,get_flight_status,True,"{""flight_number"": ""UA890""}","{""flight_number"": ""UA890""}",True,True
29,llama3.2-3b,Find me a good Italian restaurant in Delhi.,search_restaurant,search_restaurant,True,"{""cuisine"": ""Italian"", ""location"": ""Delhi""}","{""cuisine"": ""Italian"", ""location"": ""Delhi""}",True,True
3,llama3.2-3b,Give me today's weather in Tokyo.,get_weather,get_weather,True,"{""location"": ""Tokyo"", ""date"": ""today""}","{""location"": ""Tokyo""}",False,True
30,llama3.2-3b,Suggest a Chinese restaurant near Mumbai.,search_restaurant,search_restaurant,True,"{""cuisine"": ""Chinese"", ""location"": ""Mumbai""}","{""cuisine"": ""Chinese"", ""location"": ""Mumbai""}",True,True
31,llama3.2-3b,How do I get from BMU campus to New Delhi railway station?,get_directions,get_directions,True,"{""origin"": ""BMU campus"", ""destination"": ""New Delhi railway station""}","{""origin"": ""BMU campus"", ""destination"": ""New Delhi railway station""}",True,True
32,llama3.2-3b,Give me directions from Connaught Place to India Gate.,get_directions,get_directions,True,"{""origin"": ""Connaught Place"", ""destination"": ""India Gate""}","{""origin"": ""Connaught Place"", ""destination"": ""India Gate""}",True,True
33,llama3.2-3b,What's the route from my hostel to the airport?,get_directions,get_directions,True,"{""origin"": ""hostel"", ""destination"": ""airport""}","{""origin"": ""hostel"", ""destination"": ""airport""}",True,True
34,llama3.2-3b,Send an email to john@example.com with the subject 'Meeting Reminder' saying the meeting is at 3 PM.,send_email,send_email,True,"{""recipient"": ""john@example.com"", ""subject"": ""Meeting Reminder"", ""body"": ""the meeting is at 3 PM""}","{""recipient"": ""john@example.com"", ""subject"": ""Meeting Reminder"", ""body"": ""The meeting is at 3 PM.""}",False,True
35,llama3.2-3b,Email my professor at prof@university.edu telling them I'll submit the report tomorrow.,send_email,send_email,True,"{""recipient"": ""prof@university.edu"", ""subject"": ""Report Submission"", ""body"": ""I'll submit the report tomorrow""}","{""recipient"": ""prof@university.edu"", ""subject"": ""Report Submission Tomorrow"", ""body"": ""I will submit the report tomorrow.""}",False,True
36,llama3.2-3b,What's the latest news on artificial intelligence?,get_news,get_news,True,"{""topic"": ""artificial intelligence""}","{""topic"": ""artificial intelligence""}",True,True
37,llama3.2-3b,Show me recent news about the stock market.,get_news,get_news,True,"{""topic"": ""stock market""}","{""topic"": ""stock market""}",True,True
38,llama3.2-3b,Any recent news about space exploration?,get_news,get_news,True,"{""topic"": ""space exploration""}","{""topic"": ""space exploration""}",True,True
39,llama3.2-3b,What does 'ubiquitous' mean?,define_word,define_word,True,"{""word"": ""ubiquitous""}","{""word"": ""ubiquitous""}",True,True
4,llama3.2-3b,Is it going to snow in Toronto next Monday?,get_weather,get_weather,True,"{""location"": ""Toronto"", ""date"": ""next Monday""}","{""location"": ""Toronto"", ""date"": ""next Monday""}",True,True
40,llama3.2-3b,Define the word 'ephemeral'.,define_word,define_word,True,"{""word"": ""ephemeral""}","{""word"": ""ephemeral""}",True,True
41,llama3.2-3b,What time is it right now in New York?,get_time_in_timezone,get_time_in_timezone,True,"{""timezone"": ""New York""}","{""timezone"": ""America/New_York""}",False,True
42,llama3.2-3b,What's the current time in Tokyo?,get_time_in_timezone,get_time_in_timezone,True,"{""timezone"": ""Tokyo""}","{""timezone"": ""Tokyo""}",True,True
43,llama3.2-3b,Find me a hotel in Goa for December 1st.,search_hotel,search_hotel,True,"{""location"": ""Goa"", ""check_in_date"": ""December 1st""}","{""location"": ""Goa"", ""check_in_date"": ""December 1st""}",True,True
44,llama3.2-3b,I need a hotel in Bangkok checking in next Friday.,search_hotel,search_hotel,True,"{""location"": ""Bangkok"", ""check_in_date"": ""next Friday""}","{""location"": ""Bangkok"", ""check_in_date"": ""next Friday""}",True,True
45,llama3.2-3b,Generate a QR code for my website https://example.com.,generate_qr_code,generate_qr_code,True,"{""text"": ""https://example.com""}","{""text"": ""https://example.com""}",True,True
46,llama3.2-3b,Make a QR code containing the text 'Welcome to our event'.,generate_qr_code,generate_qr_code,True,"{""text"": ""Welcome to our event""}","{""text"": ""Welcome to our event""}",True,True
47,llama3.2-3b,Summarize this: 'The quick brown fox jumps over the lazy dog repeatedly during summer months while foxes generally hunt at night and rest during the day near forest edges.',summarize_text,summarize_text,True,"{""text"": ""The quick brown fox jumps over the lazy dog repeatedly during summer months while foxes generally hunt at night and rest during the day near forest edges.""}","{""text"": ""The quick brown fox jumps over the lazy dog repeatedly during summer months while foxes generally hunt at night and rest during the day near forest edges.""}",True,True
48,llama3.2-3b,"Can you summarize this text for me: 'Machine learning models require large amounts of data to train effectively, and the quality of that data often matters more than the quantity.'",summarize_text,summarize_text,True,"{""text"": ""Machine learning models require large amounts of data to train effectively, and the quality of that data often matters more than the quantity.""}","{""text"": ""Machine learning models require large amounts of data to train effectively, and the quality of that data often matters more than the quantity.""}",True,True
49,llama3.2-3b,"What language is this sentence written in: 'Bonjour, comment allez-vous?'",detect_language,define_word,False,"{""text"": ""Bonjour, comment allez-vous?""}","{""word"": ""sentence""}",False,True
5,llama3.2-3b,How much is 100 US dollars in Indian rupees?,convert_currency,convert_currency,True,"{""amount"": 100, ""from_currency"": ""USD"", ""to_currency"": ""INR""}","{""amount"": ""100"", ""from_currency"": ""USD"", ""to_currency"": ""INR""}",True,True
50,llama3.2-3b,"Identify the language of this text: 'Guten Tag, wie geht es Ihnen?'",detect_language,detect_language,True,"{""text"": ""Guten Tag, wie geht es Ihnen?""}","{""text"": ""Guten Tag, wie geht es Ihnen?""}",True,True
6,llama3.2-3b,Convert 50 euros to British pounds.,convert_currency,convert_currency,True,"{""amount"": 50, ""from_currency"": ""EUR"", ""to_currency"": ""GBP""}","{""amount"": ""50"", ""from_currency"": ""EUR"", ""to_currency"": ""GBP""}",True,True
7,llama3.2-3b,What is 200 pounds in US dollars?,convert_currency,convert_currency,True,"{""amount"": 200, ""from_currency"": ""GBP"", ""to_currency"": ""USD""}","{""amount"": ""200"", ""from_currency"": ""GBP"", ""to_currency"": ""USD""}",True,True
8,llama3.2-3b,How many kilometers is 10 miles?,convert_units,convert_units,True,"{""value"": 10, ""from_unit"": ""miles"", ""to_unit"": ""kilometers""}","{""value"": ""10"", ""from_unit"": ""miles"", ""to_unit"": ""kilometers""}",True,True
9,llama3.2-3b,Convert 5 kilograms to pounds.,convert_units,convert_units,True,"{""value"": 5, ""from_unit"": ""kilograms"", ""to_unit"": ""pounds""}","{""value"": ""5"", ""from_unit"": ""kilograms"", ""to_unit"": ""pounds""}",True,True
1,phi3.5,What's the weather going to be like in Mumbai tomorrow?,get_weather,get_weather,True,"{""location"": ""Mumbai"", ""date"": ""tomorrow""}","{""location"": ""Mumbai"", ""date"": ""tomorrow""}",True,True
10,phi3.5,What is 245 multiplied by 37?,calculate,calculate,True,"{""expression"": ""245*37""}","{""expression"": ""245 * 37""}",False,True
11,phi3.5,Calculate 15% of 2400.,calculate,calculate,True,"{""expression"": ""0.15*2400""}","{""expression"": ""0.15 * 2400""}",False,True
12,phi3.5,What is the square root of 144?,calculate,calculate,True,"{""expression"": ""sqrt(144)""}","{""expression"": ""sqrt(144)""}",True,True
13,phi3.5,Translate 'good morning' into French.,translate_text,translate_text,True,"{""text"": ""good morning"", ""target_language"": ""French""}","{""text"": ""good morning"", ""target_language"": ""French""}",True,True
14,phi3.5,How do you say 'thank you' in Japanese?,translate_text,translate_text,True,"{""text"": ""thank you"", ""target_language"": ""Japanese""}","{""text"": ""thank you"", ""target_language"": ""Japanese""}",True,True
15,phi3.5,Translate this sentence into Spanish: I am learning to code.,translate_text,translate_text,True,"{""text"": ""I am learning to code"", ""target_language"": ""Spanish""}","{""text"": ""I am learning to code."", ""target_language"": ""Spanish""}",False,True
16,phi3.5,Remind me to call mom at 6 PM today.,set_reminder,set_reminder,True,"{""message"": ""call mom"", ""datetime"": ""6 PM today""}","{""message"": ""call mom"", ""datetime"": ""today at 18:00""}",False,True
17,phi3.5,Set a reminder for my dentist appointment tomorrow at 10 AM.,set_reminder,set_reminder,True,"{""message"": ""dentist appointment"", ""datetime"": ""tomorrow at 10 AM""}","{""message"": ""Dentist appointment"", ""datetime"": ""tomorrow at 10 AM""}",True,True
18,phi3.5,Tell me about the movie Inception.,search_movie,search_movie,True,"{""title"": ""Inception""}","{""title"": ""Inception""}",True,True
19,phi3.5,What is the movie Oppenheimer about?,search_movie,search_movie,True,"{""title"": ""Oppenheimer""}","{""title"": ""Oppenheimer""}",True,True
2,phi3.5,Will it rain in London this weekend?,get_weather,get_weather,True,"{""location"": ""London"", ""date"": ""this weekend""}","{""location"": ""London"", ""date"": ""this weekend""}",True,True
20,phi3.5,Give me a summary of the movie Interstellar.,search_movie,search_movie,True,"{""title"": ""Interstellar""}","{""title"": ""Interstellar""}",True,True
21,phi3.5,What is the current stock price of Apple?,get_stock_price,get_stock_price,True,"{""ticker_symbol"": ""AAPL""}","{""ticker_symbol"": ""AAPL""}",True,True
22,phi3.5,How much is Tesla stock trading at right now?,get_stock_price,get_stock_price,True,"{""ticker_symbol"": ""TSLA""}","{""ticker_symbol"": ""TSLA""}",True,True
23,phi3.5,What's Google's current share price?,get_stock_price,get_stock_price,True,"{""ticker_symbol"": ""GOOGL""}","{""ticker_symbol"": ""GOOGL""}",True,True
24,phi3.5,Give me a recipe for butter chicken.,search_recipe,search_recipe,True,"{""dish_name"": ""butter chicken""}","{""dish_name"": ""butter chicken""}",True,True
25,phi3.5,How do I make chocolate chip cookies?,search_recipe,search_recipe,True,"{""dish_name"": ""chocolate chip cookies""}","{""dish_name"": ""chocolate chip cookies""}",True,True
26,phi3.5,Find me a recipe for margherita pizza.,search_recipe,search_recipe,True,"{""dish_name"": ""margherita pizza""}","{""dish_name"": ""margherita pizza""}",True,True
27,phi3.5,Is flight AI202 on time?,get_flight_status,get_flight_status,True,"{""flight_number"": ""AI202""}","{""flight_number"": ""AI202""}",True,True
28,phi3.5,What's the status of flight UA890?,get_flight_status,get_flight_status,True,"{""flight_number"": ""UA890""}","{""flight_number"": ""UA890""}",True,True
29,phi3.5,Find me a good Italian restaurant in Delhi.,search_restaurant,search_restaurant,True,"{""cuisine"": ""Italian"", ""location"": ""Delhi""}","{""cuisine"": ""Italian"", ""location"": ""Delhi""}",True,True
3,phi3.5,Give me today's weather in Tokyo.,get_weather,get_weather,True,"{""location"": ""Tokyo"", ""date"": ""today""}","{""location"": ""Tokyo""}",False,True
30,phi3.5,Suggest a Chinese restaurant near Mumbai.,search_restaurant,search_restaurant,True,"{""cuisine"": ""Chinese"", ""location"": ""Mumbai""}","{""cuisine"": """", ""location"": ""Mumbai""}",False,True
31,phi3.5,How do I get from BMU campus to New Delhi railway station?,get_directions,get_directions,True,"{""origin"": ""BMU campus"", ""destination"": ""New Delhi railway station""}","{""origin"": ""BMU campus"", ""destination"": ""New Delhi railway station""}",True,True
32,phi3.5,Give me directions from Connaught Place to India Gate.,get_directions,get_directions,True,"{""origin"": ""Connaught Place"", ""destination"": ""India Gate""}","{""origin"": ""Connaught Place"", ""destination"": ""India Gate""}",True,True
33,phi3.5,What's the route from my hostel to the airport?,get_directions,get_directions,True,"{""origin"": ""hostel"", ""destination"": ""airport""}","{""origin"": ""hostel address or name here"", ""destination"": ""airport address""}",False,True
34,phi3.5,Send an email to john@example.com with the subject 'Meeting Reminder' saying the meeting is at 3 PM.,send_email,,False,"{""recipient"": ""john@example.com"", ""subject"": ""Meeting Reminder"", ""body"": ""the meeting is at 3 PM""}",,False,False
35,phi3.5,Email my professor at prof@university.edu telling them I'll submit the report tomorrow.,send_email,send_email,True,"{""recipient"": ""prof@university.edu"", ""subject"": ""Report Submission"", ""body"": ""I'll submit the report tomorrow""}","{""recipient"": ""prof@university.edu"", ""subject"": ""Report Submission Confirmation"", ""body"": ""I will submit the report tomorrow.""}",False,True
36,phi3.5,What's the latest news on artificial intelligence?,get_news,get_news,True,"{""topic"": ""artificial intelligence""}","{""topic"": ""artificial intelligence""}",True,True
37,phi3.5,Show me recent news about the stock market.,get_news,get_news,True,"{""topic"": ""stock market""}","{""topic"": ""stock market""}",True,True
38,phi3.5,Any recent news about space exploration?,get_news,get_news,True,"{""topic"": ""space exploration""}","{""topic"": ""space exploration""}",True,True
39,phi3.5,What does 'ubiquitous' mean?,define_word,define_word,True,"{""word"": ""ubiquitous""}","{""word"": ""ubiquitous""}",True,True
4,phi3.5,Is it going to snow in Toronto next Monday?,get_weather,get_weather,True,"{""location"": ""Toronto"", ""date"": ""next Monday""}","{""location"": ""Toronto"", ""date"": ""next Monday""}",True,True
40,phi3.5,Define the word 'ephemeral'.,define_word,define_word,True,"{""word"": ""ephemeral""}","{""word"": ""ephemeral""}",True,True
41,phi3.5,What time is it right now in New York?,get_time_in_timezone,get_time_in_timezone,True,"{""timezone"": ""New York""}","{""timezone"": ""Eastern Standard Time""}",False,True
42,phi3.5,What's the current time in Tokyo?,get_time_in_timezone,get_time_in_timezone,True,"{""timezone"": ""Tokyo""}","{""timezone"": ""Tokyo""}",True,True
43,phi3.5,Find me a hotel in Goa for December 1st.,search_hotel,search_hotel,True,"{""location"": ""Goa"", ""check_in_date"": ""December 1st""}","{""location"": ""Goa"", ""check_in_date"": ""2023-12-01""}",False,True
44,phi3.5,I need a hotel in Bangkok checking in next Friday.,search_hotel,search_hotel,True,"{""location"": ""Bangkok"", ""check_in_date"": ""next Friday""}","{""location"": ""Bangkok"", ""check_in_date"": ""next Friday""}",True,True
45,phi3.5,Generate a QR code for my website https://example.com.,generate_qr_code,generate_qr_code,True,"{""text"": ""https://example.com""}","{""text"": ""https://example.com""}",True,True
46,phi3.5,Make a QR code containing the text 'Welcome to our event'.,generate_qr_code,generate_qr_code,True,"{""text"": ""Welcome to our event""}","{""text"": ""Welcome to our event""}",True,True
47,phi3.5,Summarize this: 'The quick brown fox jumps over the lazy dog repeatedly during summer months while foxes generally hunt at night and rest during the day near forest edges.',summarize_text,summarize_text,True,"{""text"": ""The quick brown fox jumps over the lazy dog repeatedly during summer months while foxes generally hunt at night and rest during the day near forest edges.""}","{""text"": ""The quick brown fox jumps over the lazy dog repeatedly during summer months while foxes generally hunt at night and rest during the day near forest edges.""}",True,True
